SPY from 2006-Sep-20 to 2011-Sep-20,,,,,
Date,Open,High,Low,Close,Volume
09/02/2007,145.06,145.33,143.39,143.94,79084400
12/02/2007,143.94,144.04,143.19,143.45,65657000
13/02/2007,143.77,144.9,143.76,144.66,64081800
14/02/2007,144.8,145.9,144.78,145.61,66039400
15/02/2007,145.67,145.95,145.43,145.8,38715200
16/02/2007,145.44,145.76,145.23,145.73,39841800
20/02/2007,145.56,146.2,145,146.04,56911800
21/02/2007,145.61,146.07,145.35,145.98,63971600
22/02/2007,146.05,146.42,145.17,145.87,79067400
23/02/2007,145.74,145.79,145.03,145.3,71966200
26/02/2007,145.83,145.95,144.75,145.17,69192800
27/02/2007,143.88,144.2,139,139.5,274466500
28/02/2007,140.39,141.98,139.8,140.93,177536300
01/03/2007,139.34,141.25,138.05,140.51,212828600
02/03/2007,140.05,140.66,138.66,138.67,162574000
05/03/2007,137.93,139.58,137.33,137.35,143750400
06/03/2007,138.78,140.12,137.72,139.7,143333300
07/03/2007,139.59,140.46,139.4,139.56,115144900
08/03/2007,140.54,141.16,140.07,140.74,117891600
09/03/2007,141.31,141.42,140.08,140.78,107765100
12/03/2007,140.42,141.34,140.16,140.99,80366900
13/03/2007,140.18,140.77,138.04,138.25,171799500
14/03/2007,138.43,139.36,136.75,139.28,229247800
15/03/2007,138.97,139.99,138.8,139.47,132389000
16/03/2007,139.31,139.63,138.12,138.53,121531600
19/03/2007,139.26,140.33,139.15,140.2,96161200
20/03/2007,140.08,141.05,139.96,140.97,82147400
21/03/2007,141.1,143.65,140.82,143.29,152368700
22/03/2007,143.48,143.68,142.79,143.18,118942200
23/03/2007,143.28,143.81,143.15,143.39,74416800
26/03/2007,143.5,143.65,142.09,143.2,113787500
27/03/2007,143.12,143.16,142.39,142.86,99864600
28/03/2007,142.14,142.47,141.26,141.82,152907900
29/03/2007,142.54,142.61,141.19,141.97,139432700
30/03/2007,142.24,142.84,140.56,142,128194100
02/04/2007,142.16,142.46,141.48,142.16,79416400
03/04/2007,142.97,143.98,142.91,143.69,82417800
04/04/2007,143.69,143.95,143.16,143.85,63995200
05/04/2007,143.67,144.44,143.61,144.24,46822800
09/04/2007,144.65,144.8,144.15,144.44,50967400
10/04/2007,144.33,144.85,144.27,144.61,56620000
11/04/2007,144.82,144.86,143.54,144.02,106365700
12/04/2007,143.74,144.92,143.34,144.66,115534400
13/04/2007,144.9,145.32,144.36,145.32,84287000
16/04/2007,145.83,146.86,145.82,146.7,83064600
17/04/2007,146.97,147.4,146.65,147.09,108424100
18/04/2007,146.6,147.7,146.57,147.27,88345300
19/04/2007,146.55,147.4,146.36,147.23,102947700
20/04/2007,148.22,148.62,147.04,148.62,124114100
23/04/2007,148.37,148.73,147.97,148.06,77270800
24/04/2007,148.23,148.4,147.32,148.12,114471000
25/04/2007,148.73,149.66,148.02,149.48,108418800
26/04/2007,149.49,149.8,149.1,149.65,88741600
27/04/2007,149.09,149.74,148.84,149.53,108191100
30/04/2007,149.64,149.74,148.21,148.29,100874100
01/05/2007,148.42,149.47,147.67,148.67,134342700
02/05/2007,148.9,149.95,148.75,149.54,87129800
03/05/2007,149.97,150.4,149.73,150.35,86569700
04/05/2007,150.75,151.12,150.22,150.92,96409000
07/05/2007,150.88,151.2,150.81,150.95,63461400
08/05/2007,150.58,150.92,150.13,150.75,80584000
09/05/2007,150.64,152.82,150.37,151.16,102070100
10/05/2007,150.73,151.02,149.27,149.58,153617800
11/05/2007,149.75,150.93,149.72,150.86,113408900
14/05/2007,150.86,151.3,149.79,150.53,108027500
15/05/2007,150.7,151.66,150.19,150.57,180673300
16/05/2007,150.8,151.63,150.38,151.6,114166500
17/05/2007,151.38,151.96,151.11,151.3,101132800
18/05/2007,152.01,152.62,151.81,152.62,99182000
21/05/2007,152.58,153.23,152.5,152.61,174664600
22/05/2007,152.7,153.16,152.38,152.42,82148800
23/05/2007,152.95,153.5,152.36,152.44,133786600
24/05/2007,152.53,153.21,150.74,151.06,187593000
25/05/2007,151.5,152.02,151.18,151.69,83309200
29/05/2007,151.94,152.5,151.45,152.24,82020000
30/05/2007,151.46,153.54,151.34,153.48,129013600
31/05/2007,153.67,153.89,153.12,153.32,114866700
01/06/2007,153.88,154.4,153.51,154.08,107771700
04/06/2007,153.54,154.39,153.48,154.1,78008800
05/06/2007,153.74,153.9,152.86,153.49,126917900
06/06/2007,152.86,152.95,151.75,151.84,164096800
07/06/2007,151.56,152.5,149.06,149.1,232414600
08/06/2007,149.58,151.19,149.09,151.04,175886000
11/06/2007,150.93,151.95,150.7,151.3,102015600
12/06/2007,150.67,151.54,149.55,149.65,233898000
13/06/2007,150.5,152.07,149.72,151.89,193208200
14/06/2007,152.06,153.12,152.03,152.86,146396500
15/06/2007,153.14,153.66,152.93,153.07,154030800
18/06/2007,153.38,153.39,152.66,152.89,88537500
19/06/2007,152.55,153.38,152.36,153.27,110851700
20/06/2007,153.58,153.58,150.96,151.14,177119700
